t,x,y,theta,phi,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,torque_fl,torque_fr,torque_rl,torque_rr,Q_phi
0.02,-6.49598,-1.05922,-0.00634429,0.0677183,8,-6.49696,-1,-0.0592107,0.0166347,0.00467897,0.00194134,0.00103624,0.0546054,0.000741481,-0.00196543,-0.00131399,0.993466,81.133,16.115,16.1588,16.115,16.1588,8.20822
0.03,-6.49515,-1.05923,-0.0062899,0.126618,11,-6.49582,-1,-0.0592194,0.01664,0.00468118,0.00194252,0.00103699,0.0561434,0.00074148,-0.00196652,-0.00131395,0.993467,70.6713,16.0959,16.178,16.0958,16.178,7.14982
0.04,-6.49592,-1.05924,-0.00636277,0.0680041,8,-6.49696,-1,-0.0592293,0.0166347,0.00467897,0.00194134,0.00103624,0.0569149,0.00901505,-0.00164764,-0.00198452,0.91074,79.5028,14.773,14.8133,14.773,14.8133,8.0433
0.05,-6.49574,-1.05926,-0.00638732,0.0687168,9,-6.49658,-1,-0.0592479,0.0166365,0.00467971,0.00194173,0.00103649,0.0573815,0.0198112,-0.00176176,-0.00231466,0.802736,74.4443,13.0209,13.0568,13.0209,13.0568,7.53153
0.06,-6.49551,-1.05927,-0.00640591,0.0700322,9,-6.49658,-1,-0.0592633,0.0166365,0.00467971,0.00194173,0.00103649,0.0576951,0.0266436,-0.00167178,-0.00205251,0.734383,69.5281,11.912,11.9455,11.912,11.9454,7.03416
0.07,-6.49519,-1.05929,-0.00642521,0.0715553,10,-6.4962,-1,-0.0592815,0.0166383,0.00468045,0.00194212,0.00103674,0.0579217,0.0338063,-0.00178475,-0.00183985,0.662739,67.9332,10.7499,10.7808,10.7498,10.7806,6.87281
0.08,-6.49481,-1.05931,-0.00644291,0.0731418,11,-6.49582,-1,-0.0593006,0.01664,0.00468118,0.00194252,0.00103699,0.0580941,0.0405903,-0.00185045,-0.00168498,0.594888,66.6747,9.6495,9.67782,9.64923,9.67755,6.74548
0.09,-6.49436,-1.05933,-0.00645885,0.0748842,12,-6.49544,-1,-0.0593204,0.0166418,0.00468192,0.00194291,0.00103724,0.0582304,0.0462246,-0.00191358,-0.00149616,0.538528,64.5916,8.73574,8.76199,8.73522,8.76147,6.53473
0.1,-6.49385,-1.05935,-0.006473,0.0767716,14,-6.49468,-1,-0.0593407,0.0166454,0.0046834,0.0019437,0.00103774,0.0583414,0.0516092,-0.0019627,-0.00131305,0.48467,63.0575,7.86277,7.887,7.86192,7.88615,6.37953
0.11,-6.4933,-1.05937,-0.00648506,0.0787532,15,-6.4943,-1,-0.0593615,0.0166472,0.00468414,0.0019441,0.00103799,0.0584341,0.0560833,-0.00201744,-0.00108929,0.439918,61.6446,7.13771,7.16028,7.13645,7.15901,6.23659
0.12,-6.49271,-1.05939,-0.00649496,0.0808306,17,-6.49354,-1,-0.0593828,0.0166507,0.00468561,0.00194489,0.0010385,0.0585132,0.0603746,-0.00206094,-0.000867722,0.396995,60.3775,6.44255,6.46346,6.44075,6.46166,6.1084
0.13,-6.49208,-1.05941,-0.00650239,0.0829884,18,-6.49316,-1,-0.0594045,0.0166525,0.00468635,0.00194528,0.00103875,0.0585817,0.0638846,-0.00210797,-0.000608707,0.361885,59.089,5.87431,5.89389,5.87189,5.89146,5.97803
0.14,-6.49142,-1.05944,-0.00650728,0.0852238,20,-6.4924,-1,-0.0594267,0.0166561,0.00468783,0.00194608,0.00103925,0.0586421,0.0672251,-0.00214755,-0.000352063,0.328473,57.9924,5.33379,5.35205,5.33064,5.34888,5.86709
0.15,-6.49072,-1.05946,-0.00650945,0.0875117,22,-6.49164,-0.999999,-0.0594493,0.0166596,0.00468931,0.00194687,0.00103975,0.0586959,0.0700112,-0.00218775,-6.89069e-05,0.300604,57.0257,4.8833,4.90047,4.87937,4.89652,5.76929
0.16,-6.49,-1.05948,-0.00650884,0.0898516,24,-6.49089,-0.999999,-0.0594723,0.0166632,0.00469079,0.00194766,0.00104026,0.0587444,0.0726748,-0.00222236,0.000211216,0.273962,56.05,4.45289,4.46897,4.44803,4.46409,5.67058
0.17,-6.48926,-1.0595,-0.00650529,0.0922306,26,-6.49013,-0.999999,-0.0594957,0.0166667,0.00469226,0.00194845,0.00104076,0.0587886,0.0748554,-0.00225807,0.000513087,0.252151,55.23,4.10088,4.11608,4.09511,4.11028,5.58762
0.18,-6.4885,-1.05953,-0.00649879,0.0946404,28,-6.48937,-0.999999,-0.0595194,0.0166703,0.00469374,0.00194924,0.00104126,0.0588292,0.0769505,-0.00228888,0.000809404,0.231196,54.4644,3.76286,3.77718,3.75608,3.77036,5.51017
0.19,-6.48771,-1.05955,-0.00648921,0.0970808,30,-6.48861,-0.999999,-0.0595434,0.0166739,0.00469522,0.00195003,0.00104177,0.0588668,0.0786448,-0.00232011,0.00112321,0.214248,53.6648,3.48992,3.50355,3.48209,3.49568,5.42927
0.2,-6.48692,-1.05958,-0.00647656,0.0995399,32,-6.48785,-0.999999,-0.0595677,0.0166774,0.0046967,0.00195083,0.00104227,0.0589019,0.0802934,-0.00234764,0.00143068,0.197759,53.0452,3.22442,3.23733,3.21553,3.2284,5.36658
