t,x,y,theta,phi,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,torque_fl,torque_fr,torque_rl,torque_rr,Q_phi
0.02,-6.49379,-1.06555,-0.010678,0.0770609,14,-6.49468,-1,-0.0655387,0.0166454,0.0046834,0.0019437,0.00103774,0.0327693,0.00066656,-0.00210465,-0.0014718,0.994259,92.2657,15.915,15.9766,15.915,15.9766,9.33452
0.03,-6.49296,-1.06556,-0.010616,0.143944,16,-6.49392,-1,-0.0655512,0.0166489,0.00468488,0.00194449,0.00103824,0.0436966,0.000666558,-0.00210588,-0.00147177,0.994259,80.2514,15.8881,16.0037,15.8881,16.0037,8.11903
0.04,-6.49373,-1.06557,-0.010697,0.077217,14,-6.49468,-1,-0.0655572,0.0166454,0.0046834,0.0019437,0.00103774,0.0491618,0.00952712,-0.00181258,-0.00218243,0.905664,90.2532,14.4968,14.553,14.4968,14.553,9.13091
0.05,-6.49357,-1.06559,-0.0107186,0.0783726,15,-6.4943,-1,-0.0655744,0.0166472,0.00468414,0.0019441,0.00103799,0.0524443,0.0184482,-0.00182161,-0.00226249,0.816331,80.1956,13.0666,13.118,13.0665,13.1179,8.11338
0.06,-6.49333,-1.0656,-0.0107386,0.0804088,15,-6.4943,-1,-0.0655924,0.0166472,0.00468414,0.0019441,0.00103799,0.0546356,0.0268302,-0.0019688,-0.0020204,0.732424,73.9967,11.7233,11.7706,11.7231,11.7704,7.48624
0.07,-6.49301,-1.06562,-0.0107564,0.082528,16,-6.49392,-1,-0.0656121,0.0166489,0.00468488,0.00194449,0.00103824,0.0562037,0.0340147,-0.00211391,-0.00178043,0.660563,73.3568,10.5731,10.6169,10.5728,10.6166,7.42151
0.08,-6.49262,-1.06565,-0.0107723,0.0846177,17,-6.49354,-1,-0.0656329,0.0166507,0.00468561,0.00194489,0.0010385,0.0573823,0.0405952,-0.00220523,-0.00160311,0.594745,72.5805,9.51992,9.56038,9.51944,9.5599,7.34297
0.09,-6.49218,-1.06567,-0.0107861,0.0868519,18,-6.49316,-1,-0.0656545,0.0166525,0.00468635,0.00194528,0.00103875,0.0583015,0.0462108,-0.00228662,-0.00138568,0.538562,70.5046,8.62136,8.65898,8.62051,8.65812,7.13295
0.1,-6.49168,-1.06569,-0.0107977,0.0892548,19,-6.49278,-1,-0.065677,0.0166543,0.00468709,0.00194568,0.001039,0.059039,0.0514993,-0.00236113,-0.00115071,0.485652,68.6055,7.77558,7.81045,7.77419,7.80906,6.94082
0.11,-6.49113,-1.06571,-0.0108066,0.0917617,21,-6.49202,-0.999999,-0.0657002,0.0166578,0.00468857,0.00194647,0.0010395,0.0596446,0.0559669,-0.00243596,-0.000875072,0.440956,67.1885,7.0615,7.09406,7.05951,7.09206,6.79746
0.12,-6.49054,-1.06574,-0.0108128,0.0943445,22,-6.49164,-0.999999,-0.0657242,0.0166596,0.00468931,0.00194687,0.00103975,0.0601512,0.0600851,-0.00250158,-0.000594004,0.399758,65.8342,6.4037,6.43407,6.40094,6.4313,6.66045
0.13,-6.48992,-1.06576,-0.010816,0.0970038,24,-6.49089,-0.999999,-0.0657488,0.0166632,0.00469079,0.00194766,0.00104026,0.0605818,0.0636265,-0.00256223,-0.000283801,0.36433,64.6504,5.83848,5.86696,5.83486,5.86332,6.54068
0.14,-6.48926,-1.06579,-0.0108161,0.0997242,26,-6.49013,-0.999999,-0.065774,0.0166667,0.00469226,0.00194845,0.00104076,0.0609527,0.0669131,-0.00261904,3.26741e-05,0.33145,63.5093,5.31431,5.34097,5.30967,5.3363,6.42523
0.15,-6.48857,-1.06581,-0.0108128,0.102497,28,-6.48937,-0.999999,-0.0657998,0.0166703,0.00469374,0.00194924,0.00104126,0.0612758,0.0697013,-0.00267179,0.000373294,0.303556,62.4492,4.87011,4.89522,4.86436,4.88944,6.31798
0.16,-6.48785,-1.06584,-0.0108062,0.105309,29,-6.48899,-0.999999,-0.0658261,0.0166721,0.00469448,0.00194964,0.00104152,0.0615602,0.0723269,-0.00272106,0.000716289,0.277291,61.4858,4.45215,4.47574,4.44516,4.46872,6.22052
0.17,-6.48712,-1.06587,-0.010796,0.108157,31,-6.48823,-0.999999,-0.0658529,0.0166756,0.00469596,0.00195043,0.00104202,0.0618127,0.0745488,-0.00276715,0.00107681,0.255063,60.6028,4.09889,4.1212,4.09063,4.1129,6.13118
0.18,-6.48636,-1.06589,-0.0107823,0.111033,33,-6.48747,-0.999999,-0.0658801,0.0166792,0.00469744,0.00195122,0.00104252,0.0620387,0.0765962,-0.00280987,0.00143715,0.234581,59.7332,3.77372,3.79481,3.76407,3.78511,6.0432
0.19,-6.48558,-1.06592,-0.0107648,0.113931,35,-6.48671,-0.999999,-0.0659078,0.0166828,0.00469892,0.00195201,0.00104303,0.0622423,0.0783407,-0.00285001,0.00180974,0.217129,58.9638,3.49705,3.51712,3.48602,3.50603,5.96537
0.2,-6.48478,-1.06595,-0.0107437,0.116842,37,-6.48595,-0.999998,-0.0659359,0.0166863,0.00470041,0.00195281,0.00104353,0.062427,0.0799574,-0.00288677,0.00217916,0.200958,58.2372,3.24095,3.26003,3.22847,3.24747,5.89185
0.21,-6.48397,-1.06598,-0.0107188,0.119765,40,-6.48481,-0.999998,-0.0659644,0.0166917,0.00470263,0.001954,0.00104429,0.0625954,0.0813289,-0.00292177,0.00255708,0.187238,57.5735,3.02407,3.04232,3.01017,3.02834,5.82471
0.22,-6.48315,-1.066,-0.0106901,0.122688,42,-6.48406,-0.999998,-0.0659932,0.0166953,0.00470411,0.00195479,0.0010448,0.0627499,0.0826202,-0.00295352,0.00293106,0.174322,56.9289,2.82009,2.83753,2.80471,2.82206,5.7595
0.23,-6.48232,-1.06603,-0.0106577,0.125613,44,-6.4833,-0.999998,-0.0660223,0.0166988,0.00470559,0.00195559,0.0010453,0.0628922,0.0836853,-0.00298436,0.00331024,0.163669,56.3261,2.65227,2.66907,2.63549,2.65219,5.69851
0.24,-6.48147,-1.06606,-0.0106216,0.128534,46,-6.48254,-0.999997,-0.0660518,0.0167024,0.00470708,0.00195638,0.00104581,0.0630238,0.0847042,-0.00301187,0.00368452,0.153478,55.7497,2.49186,2.50801,2.47363,2.48967,5.6402
0.25,-6.48062,-1.06609,-0.0105816,0.131448,48,-6.48178,-0.999997,-0.0660815,0.016706,0.00470856,0.00195718,0.00104631,0.0631461,0.0855531,-0.00303879,0.00406184,0.144988,55.2164,2.35858,2.37422,2.33901,2.35453,5.58624
0.26,-6.47976,-1.06612,-0.010538,0.134358,51,-6.48064,-0.999997,-0.0661116,0.0167113,0.00471079,0.00195837,0.00104707,0.0632602,0.0863586,-0.00306279,0.00443358,0.136934,54.7033,2.23226,2.2474,2.21133,2.22633,5.53433
0.27,-6.47889,-1.06615,-0.0104906,0.13725,53,-6.47989,-0.999997,-0.0661419,0.0167149,0.00471227,0.00195916,0.00104758,0.0633669,0.0870174,-0.00308637,0.00480614,0.130346,54.2203,2.12929,2.14405,2.10714,2.12175,5.48547
0.28,-6.47801,-1.06618,-0.0104395,0.140129,55,-6.47913,-0.999996,-0.0661724,0.0167185,0.00471376,0.00195996,0.00104809,0.0634671,0.0876474,-0.00310712,0.0051726,0.124047,53.7478,2.03094,2.04531,2.00755,2.02176,5.43766
0.29,-6.47713,-1.06621,-0.0103847,0.142997,58,-6.47799,-0.999996,-0.0662031,0.0167238,0.00471599,0.00196116,0.00104885,0.0635615,0.0881731,-0.00312762,0.00553955,0.118791,53.2922,1.9492,1.96328,1.92468,1.93859,5.39157
0.3,-6.47625,-1.06624,-0.0103264,0.145843,60,-6.47723,-0.999996,-0.0662341,0.0167274,0.00471747,0.00196195,0.00104935,0.0636505,0.0886729,-0.00314571,0.00590018,0.113795,52.8638,1.87153,1.88533,1.84593,1.85954,5.34823
0.31,-6.47536,-1.06627,-0.0102644,0.14867,62,-6.47648,-0.999995,-0.0662652,0.016731,0.00471896,0.00196275,0.00104986,0.0637349,0.0890819,-0.00316366,0.00625977,0.109708,52.4483,1.80831,1.8219,1.78176,1.79515,5.30619
0.32,-6.47446,-1.06631,-0.0101988,0.151481,65,-6.47534,-0.999995,-0.0662966,0.0167363,0.00472119,0.00196395,0.00105062,0.0638149,0.0894829,-0.00317919,0.00661389,0.105701,52.0275,1.74637,1.75975,1.71884,1.73201,5.26362
0.33,-6.47357,-1.06634,-0.0101297,0.154267,67,-6.47458,-0.999995,-0.0663281,0.0167399,0.00472268,0.00196474,0.00105113,0.0638911,0.0898059,-0.00319493,0.00696623,0.102475,51.6437,1.69676,1.71,1.66845,1.68148,5.22479
0.34,-6.47267,-1.06637,-0.0100571,0.15703,69,-6.47382,-0.999994,-0.0663598,0.0167435,0.00472417,0.00196554,0.00105164,0.0639637,0.0901211,-0.00320833,0.00731254,0.0993266,51.2619,1.64836,1.66146,1.61928,1.63215,5.18616
0.35,-6.47176,-1.0664,-0.0099811,0.159775,72,-6.47269,-0.999994,-0.0663916,0.0167489,0.0047264,0.00196674,0.0010524,0.0640331,0.0903794,-0.00322183,0.00765737,0.0967473,50.8747,1.60901,1.62203,1.57926,1.59203,5.14699
0.36,-6.47086,-1.06643,-0.00990164,0.162492,74,-6.47193,-0.999993,-0.0664236,0.0167524,0.00472789,0.00196754,0.00105291,0.0640995,0.0906306,-0.00323341,0.00799636,0.0942398,50.5163,1.5707,1.58362,1.54035,1.55303,5.11074
0.37,-6.46995,-1.06646,-0.00981881,0.165187,77,-6.4708,-0.999993,-0.0664557,0.0167578,0.00473013,0.00196874,0.00105368,0.0641632,0.0908289,-0.00324518,0.00833246,0.0922616,50.1825,1.54072,1.55361,1.50995,1.52259,5.07696
0.38,-6.46904,-1.06649,-0.00973264,0.167853,79,-6.47004,-0.999993,-0.0664879,0.0167614,0.00473162,0.00196954,0.00105418,0.0642243,0.0910309,-0.00325455,0.00866338,0.0902475,49.814,1.51021,1.52306,1.47896,1.49155,5.03969
0.39,-6.46813,-1.06653,-0.00964317,0.170497,81,-6.46928,-0.999992,-0.0665203,0.016765,0.00473311,0.00197034,0.00105469,0.0642832,0.0911914,-0.00326487,0.00899317,0.0886468,49.4412,1.48625,1.4991,1.45465,1.46722,5.00197
0.4,-6.46721,-1.06656,-0.00955043,0.173117,84,-6.46815,-0.999992,-0.0665527,0.0167703,0.00473535,0.00197154,0.00105546,0.0643399,0.091351,-0.00327293,0.0093162,0.0870573,49.1417,1.46225,1.47509,1.43044,1.443,4.97166
0.41,-6.4663,-1.06659,-0.00945448,0.175707,86,-6.46739,-0.999991,-0.0665853,0.0167739,0.00473684,0.00197234,0.00105597,0.0643947,0.0914779,-0.00328102,0.00963666,0.0857939,48.8035,1.44349,1.45636,1.41153,1.42411,4.93745
0.42,-6.46538,-1.06662,-0.00935534,0.178275,89,-6.46625,-0.999991,-0.0666179,0.0167793,0.00473908,0.00197354,0.00105674,0.0644476,0.0916069,-0.00328784,0.00995305,0.0845106,48.4637,1.42439,1.43728,1.39227,1.40487,4.90307
0.43,-6.46447,-1.06665,-0.00925305,0.180814,91,-6.4655,-0.99999,-0.0666507,0.0167829,0.00474057,0.00197434,0.00105725,0.0644989,0.091708,-0.00329457,0.0102663,0.0835058,48.1373,1.40962,1.42256,1.37751,1.39016,4.87005
0.44,-6.46355,-1.06669,-0.00914766,0.183326,93,-6.46474,-0.99999,-0.0666835,0.0167865,0.00474207,0.00197514,0.00105776,0.0645485,0.091812,-0.0032999,0.010575,0.0824721,47.8178,1.39433,1.40731,1.36226,1.37495,4.83773
0.45,-6.46263,-1.06672,-0.00903919,0.185815,96,-6.46361,-0.999989,-0.0667163,0.0167919,0.00474431,0.00197635,0.00105852,0.0645967,0.0918927,-0.00330531,0.0108808,0.0816719,47.5069,1.38269,1.39575,1.35079,1.36354,4.80628
0.46,-6.46171,-1.06675,-0.00892769,0.188273,98,-6.46285,-0.999988,-0.0667493,0.0167955,0.0047458,0.00197715,0.00105904,0.0646435,0.0919768,-0.00330934,0.0111823,0.0808382,47.1905,1.37049,1.38361,1.33876,1.35157,4.77426
0.47,-6.46079,-1.06678,-0.00881318,0.190708,101,-6.46171,-0.999988,-0.0667823,0.0168008,0.00474805,0.00197835,0.0010598,0.064689,0.0920404,-0.00331355,0.0114806,0.0802095,46.9002,1.36143,1.37464,1.33004,1.34294,4.7449
0.48,-6.45987,-1.06682,-0.00869571,0.193113,103,-6.46096,-0.999987,-0.0668153,0.0168044,0.00474954,0.00197916,0.00106032,0.0647333,0.0921096,-0.00331619,0.0117752,0.0795242,46.5595,1.35158,1.36486,1.32042,1.33339,4.71042
0.49,-6.45895,-1.06685,-0.00857531,0.195497,106,-6.45982,-0.999987,-0.0668484,0.0168098,0.00475179,0.00198036,0.00106108,0.0647765,0.0921612,-0.00331932,0.0120671,0.0790153,46.2672,1.34435,1.35773,1.31363,1.32671,4.68085
0.5,-6.45802,-1.06688,-0.00845201,0.197848,108,-6.45907,-0.999986,-0.0668815,0.0168134,0.00475329,0.00198117,0.0010616,0.0648186,0.0922171,-0.00332094,0.0123545,0.0784649,45.9754,1.3364,1.34987,1.30615,1.31931,4.65133
0.51,-6.4571,-1.06691,-0.00832586,0.200171,110,-6.45831,-0.999986,-0.0669147,0.016817,0.00475478,0.00198197,0.00106211,0.0648597,0.0922581,-0.00332274,0.0126388,0.0780628,45.691,1.33074,1.34431,1.30108,1.31435,4.62256
0.52,-6.45618,-1.06695,-0.00819687,0.202474,113,-6.45718,-0.999985,-0.0669479,0.0168224,0.00475703,0.00198318,0.00106288,0.0648998,0.0923045,-0.00332315,0.0129198,0.0776065,45.3637,1.32435,1.33802,1.29516,1.30852,4.58944
0.53,-6.45525,-1.06698,-0.0080651,0.204747,115,-6.45642,-0.999984,-0.0669811,0.016826,0.00475853,0.00198398,0.00106339,0.0649391,0.092338,-0.00332401,0.0131981,0.0772791,45.0775,1.3198,1.33358,1.2913,1.30478,4.56049
0.54,-6.45433,-1.06701,-0.00793056,0.206995,118,-6.45529,-0.999983,-0.0670143,0.0168314,0.00476078,0.00198519,0.00106416,0.0649775,0.0923758,-0.0033235,0.0134722,0.0769093,44.8014,1.31452,1.3284,1.28673,1.30031,4.53256
