t,x,y,theta,phi,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phi, Q_varphif, Q_varphir
0.02,-6.49595,-1.05927,-0.00641712,0.0678245,8,-6.49696,-1,-0.059266,0.0166347,0.00467897,0.00194134,0.00103624,0.054633,0.000735518,-0.00193755,-0.00130202,0.993528,81.2593,15.907,15.9611,15.907,15.9611,-0.0191386,0.0191402,-206.025,-206.025,8.221,31.8682,31.8682
0.03,-6.49511,-1.05928,-0.00636263,0.126812,11,-6.49582,-1,-0.0592747,0.01664,0.00468118,0.00194252,0.00103699,0.0561802,0.000735516,-0.00193863,-0.00130202,0.993528,70.7808,15.8834,15.9849,15.8833,15.9849,-11.8283,-2.14329,-206.026,-206.026,7.16089,31.8683,31.8683
0.04,-6.49588,-1.05929,-0.00643521,0.0681089,9,-6.49658,-1,-0.0592844,0.0166365,0.00467971,0.00194173,0.00103649,0.0569563,0.00900085,-0.00162516,-0.0019311,0.910857,76.1551,14.5833,14.6331,14.5833,14.6331,-0.253666,-0.0859237,-188.882,-188.882,7.70461,29.2164,29.2164
0.05,-6.49572,-1.05931,-0.00645715,0.0686156,9,-6.49658,-1,-0.059301,0.0166365,0.00467971,0.00194173,0.00103649,0.0574252,0.0182749,-0.00157213,-0.00214618,0.818099,73.1265,13.098,13.1431,13.098,13.1431,-0.780839,-0.31234,-169.647,-169.647,7.39821,26.2412,26.2411
0.06,-6.49548,-1.05933,-0.00647847,0.0696612,10,-6.4962,-1,-0.0593181,0.0166383,0.00468045,0.00194212,0.00103674,0.0577407,0.0268094,-0.00165254,-0.00203382,0.732716,68.5386,11.7309,11.7719,11.7308,11.7718,-1.76166,-0.724632,-151.943,-151.942,6.93405,23.5027,23.5025
0.07,-6.49515,-1.05934,-0.00649803,0.0709849,10,-6.4962,-1,-0.0593361,0.0166383,0.00468045,0.00194212,0.00103674,0.0579686,0.0340901,-0.00176121,-0.00183519,0.659889,66.5062,10.5648,10.6024,10.5646,10.6023,-2.60631,-1.02096,-136.845,-136.842,6.72843,21.1673,21.1669
0.08,-6.49476,-1.05936,-0.00651603,0.0724231,11,-6.49582,-1,-0.059355,0.01664,0.00468118,0.00194252,0.00103699,0.0581419,0.0408751,-0.00183196,-0.00168264,0.592029,65.3966,9.47848,9.51293,9.47813,9.51257,-3.34524,-1.27907,-122.778,-122.773,6.61617,18.9914,18.9907
0.09,-6.49431,-1.05938,-0.00653239,0.0740008,13,-6.49506,-1,-0.0593745,0.0166436,0.00468266,0.00194331,0.00103749,0.0582789,0.0466628,-0.00189262,-0.00151354,0.534139,63.8904,8.55197,8.58373,8.55137,8.58313,-4.13303,-1.58832,-110.781,-110.773,6.46379,17.1357,17.1345
0.1,-6.4938,-1.0594,-0.00654702,0.0757458,14,-6.49468,-1,-0.0593946,0.0166454,0.0046834,0.0019437,0.00103774,0.0583904,0.0519965,-0.00194395,-0.00133695,0.480788,62.1561,7.69839,7.72765,7.69741,7.72668,-4.98359,-1.95671,-99.7287,-99.7156,6.28833,15.426,15.4241
0.11,-6.49325,-1.05942,-0.00655951,0.0776284,15,-6.4943,-1,-0.0594153,0.0166472,0.00468414,0.0019441,0.00103799,0.0584836,0.0565584,-0.00200459,-0.00110905,0.435157,60.822,6.96859,6.99575,6.96718,6.99432,-5.71788,-2.26692,-90.2791,-90.2602,6.15336,13.9643,13.9615
0.12,-6.49265,-1.05944,-0.00656995,0.0796197,17,-6.49354,-1,-0.0594364,0.0166507,0.00468561,0.00194489,0.0010385,0.058563,0.0607637,-0.00204404,-0.000904198,0.393094,59.5635,6.29617,6.32133,6.29419,6.31935,-6.41995,-2.58452,-81.5722,-81.5458,6.02604,12.6175,12.6135
0.13,-6.49202,-1.05947,-0.00657807,0.0817087,19,-6.49278,-1,-0.059458,0.0166543,0.00468709,0.00194568,0.001039,0.0586319,0.0642429,-0.00208843,-0.000660474,0.358294,58.3924,5.74017,5.76372,5.73756,5.7611,-7.05094,-2.86767,-74.3732,-74.3383,5.90756,11.5039,11.4987
0.14,-6.49135,-1.05949,-0.00658374,0.0838758,20,-6.4924,-1,-0.05948,0.0166561,0.00468783,0.00194608,0.00103925,0.0586924,0.0675068,-0.00212743,-0.000413047,0.325648,57.3681,5.21885,5.24084,5.21551,5.23748,-7.61887,-3.1374,-67.6229,-67.5782,5.80393,10.4597,10.453
0.15,-6.49072,-1.05951,-0.00658657,0.0861042,22,-6.49164,-0.999999,-0.0595003,0.0166596,0.00468931,0.00194687,0.00103975,0.0587463,0.0701025,-0.00232966,-0.000289755,0.299673,56.515,4.80441,4.82519,4.80033,4.82109,-8.0803,-3.34117,-62.2568,-62.2023,5.71763,9.62961,9.62142
0.16,-6.48993,-1.05953,-0.00658699,0.0883918,24,-6.49089,-0.999999,-0.0595252,0.0166632,0.00469079,0.00194766,0.00104026,0.058795,0.0728734,-0.00220142,0.000132049,0.271969,55.6758,4.36253,4.38191,4.35753,4.37689,-8.53714,-3.58501,-56.5347,-56.4681,5.63272,8.74444,8.73442
0.17,-6.48919,-1.05956,-0.00658447,0.0907239,26,-6.49013,-0.999999,-0.0595484,0.0166667,0.00469226,0.00194845,0.00104076,0.0588393,0.075017,-0.00223517,0.000421827,0.250528,54.8611,4.02097,4.0393,4.01505,4.03335,-8.93201,-3.78139,-52.112,-52.0332,5.5503,8.06027,8.0484
0.18,-6.48842,-1.05958,-0.00657905,0.0930995,28,-6.48937,-0.999999,-0.0595718,0.0166703,0.00469374,0.00194924,0.00104126,0.05888,0.0770606,-0.00226593,0.000712324,0.230088,54.1107,3.69555,3.71284,3.68863,3.70589,-9.28525,-3.97208,-47.8982,-47.8059,5.47438,7.40839,7.39451
0.19,-6.48764,-1.0596,-0.00657064,0.0955041,30,-6.48861,-0.999999,-0.0595956,0.0166739,0.00469522,0.00195003,0.00104177,0.0589177,0.0787583,-0.00229652,0.00101725,0.213107,53.4555,3.42552,3.44197,3.41761,3.43402,-9.57143,-4.11932,-44.4018,-44.2963,5.40809,6.86749,6.85163
0.2,-6.48684,-1.05963,-0.0065592,0.0979332,32,-6.48785,-0.999999,-0.0596197,0.0166774,0.0046967,0.00195083,0.00104227,0.0589528,0.0803669,-0.00232373,0.00131904,0.197018,52.8236,3.16986,3.18547,3.16088,3.17645,-9.83037,-4.26534,-41.0912,-40.9716,5.34416,6.35533,6.33733
0.21,-6.48602,-1.05965,-0.00654468,0.10038,34,-6.48709,-0.999999,-0.059644,0.016681,0.00469818,0.00195162,0.00104278,0.0589857,0.0817084,-0.00235102,0.0016317,0.183602,52.2568,2.95696,2.97189,2.94696,2.96183,-10.039,-4.37603,-38.3346,-38.2012,5.28682,5.92885,5.90879
0.22,-6.4852,-1.05968,-0.00652706,0.102842,36,-6.48633,-0.999998,-0.0596687,0.0166846,0.00469966,0.00195241,0.00104328,0.0590167,0.0829919,-0.00237475,0.00194021,0.170765,51.693,2.75342,2.76767,2.74231,2.7565,-10.2309,-4.48989,-35.6989,-35.5509,5.22979,5.52109,5.49882
0.23,-6.48436,-1.0597,-0.0065063,0.105317,39,-6.48519,-0.999998,-0.0596936,0.0166899,0.00470189,0.0019536,0.00104404,0.0590461,0.0840393,-0.00239936,0.00225713,0.160289,51.1759,2.58764,2.60135,2.57549,2.58914,-10.3858,-4.5721,-33.5524,-33.3905,5.17746,5.189,5.16463
0.24,-6.48351,-1.05973,-0.00648241,0.107794,41,-6.48444,-0.999998,-0.0597187,0.0166935,0.00470337,0.0019544,0.00104454,0.0590742,0.0850385,-0.00242034,0.00256852,0.150296,50.6678,2.42962,2.4428,2.41638,2.42949,-10.5228,-4.65301,-31.5063,-31.3299,5.12606,4.87242,4.84587
0.25,-6.48266,-1.05975,-0.00645537,0.110272,43,-6.48368,-0.999998,-0.0597441,0.016697,0.00470485,0.00195519,0.00104505,0.059101,0.0858422,-0.00244247,0.00288537,0.142258,50.2097,2.30282,2.3156,2.28859,2.30129,-10.6246,-4.70117,-29.8647,-29.6751,5.07971,4.61842,4.58988
0.26,-6.48179,-1.05978,-0.00642522,0.112749,45,-6.48292,-0.999998,-0.0597696,0.0167006,0.00470633,0.00195598,0.00104555,0.0591267,0.0866202,-0.00246091,0.00319561,0.134478,49.7743,2.18015,2.19253,2.16491,2.1772,-10.7077,-4.74669,-28.2765,-28.0734,5.03567,4.37268,4.3421
0.27,-6.48092,-1.0598,-0.00639193,0.115224,48,-6.48178,-0.999997,-0.0597954,0.016706,0.00470856,0.00195718,0.00104631,0.0591515,0.0872412,-0.00248033,0.0035094,0.128269,49.3698,2.08255,2.09463,2.06639,2.07838,-10.7695,-4.76755,-27.013,-26.7978,4.99474,4.17718,4.14477
0.28,-6.48005,-1.05983,-0.00635555,0.117688,50,-6.48102,-0.999997,-0.0598214,0.0167095,0.00471004,0.00195797,0.00104682,0.0591754,0.0878565,-0.00249658,0.00381714,0.122117,48.9685,1.98588,1.99765,1.96877,1.98044,-10.8205,-4.79074,-25.7615,-25.5336,4.95414,3.98353,3.94922
0.29,-6.47916,-1.05985,-0.00631607,0.120143,52,-6.48027,-0.999997,-0.0598476,0.0167131,0.00471153,0.00195877,0.00104733,0.0591986,0.0883441,-0.00251386,0.00412733,0.117242,48.5904,1.90955,1.92111,1.89161,1.90307,-10.8544,-4.79193,-24.7737,-24.5347,4.91589,3.83066,3.79468
0.3,-6.47828,-1.05988,-0.00627353,0.122592,55,-6.47913,-0.999996,-0.0598739,0.0167185,0.00471376,0.00195996,0.00104809,0.0592211,0.0888366,-0.00252832,0.00443196,0.112318,48.2185,1.83246,1.84379,1.81366,1.82487,-10.882,-4.79787,-23.7759,-23.5253,4.87827,3.67625,3.63852
0.31,-6.47739,-1.05991,-0.00622793,0.125024,57,-6.47837,-0.999996,-0.0599004,0.016722,0.00471524,0.00196076,0.00104859,0.059243,0.0892246,-0.00254374,0.00473795,0.10844,47.8663,1.77201,1.78318,1.75246,1.76351,-10.8944,-4.78333,-22.9937,-22.7332,4.84264,3.55519,3.51598
0.32,-6.47649,-1.05993,-0.00617931,0.127443,59,-6.47761,-0.999996,-0.0599271,0.0167256,0.00471673,0.00196155,0.0010491,0.0592644,0.0896175,-0.00255672,0.00503855,0.104513,47.5095,1.71078,1.72178,1.69046,1.70133,-10.904,-4.77429,-22.2013,-21.9305,4.80653,3.43257,3.39179
0.33,-6.47559,-1.05996,-0.00612768,0.129849,62,-6.47648,-0.999995,-0.0599539,0.016731,0.00471896,0.00196275,0.00104986,0.0592853,0.0899189,-0.00257029,0.00533886,0.101501,47.2023,1.66407,1.67497,1.64314,1.6539,-10.8924,-4.74042,-21.5971,-21.318,4.77546,3.33903,3.29704
0.34,-6.47469,-1.05999,-0.00607309,0.132236,64,-6.47572,-0.999995,-0.0599808,0.0167345,0.00472045,0.00196355,0.00105037,0.0593057,0.0902256,-0.00258176,0.00563379,0.0984364,46.8699,1.61653,1.62731,1.59495,1.60559,-10.8853,-4.71555,-20.982,-20.6943,4.74182,3.24384,3.20054
0.35,-6.47379,-1.06001,-0.00601554,0.134606,66,-6.47496,-0.999995,-0.0600079,0.0167381,0.00472193,0.00196434,0.00105088,0.0593258,0.0904678,-0.00259372,0.0059288,0.096017,46.538,1.57926,1.58999,1.55713,1.56771,-10.8762,-4.68071,-20.5002,-20.205,4.70825,3.16925,3.12484
0.36,-6.47288,-1.06004,-0.00595508,0.136962,69,-6.47382,-0.999994,-0.0600351,0.0167435,0.00472417,0.00196554,0.00105164,0.0593455,0.09071,-0.00260377,0.00621812,0.0935981,46.2561,1.54189,1.55255,1.51928,1.52978,-10.8459,-4.6368,-20.0169,-19.7153,4.67973,3.09445,3.04906
0.37,-6.47197,-1.06007,-0.00589172,0.139293,71,-6.47307,-0.999994,-0.0600625,0.0167471,0.00472566,0.00196634,0.00105215,0.0593649,0.0908941,-0.00261434,0.0065062,0.0917598,45.9622,1.51377,1.52442,1.49076,1.50125,-10.8182,-4.58537,-19.6536,-19.3466,4.64999,3.03819,2.99202
0.38,-6.47106,-1.06009,-0.00582552,0.141611,74,-6.47193,-0.999993,-0.0600899,0.0167524,0.00472789,0.00196754,0.00105291,0.0593839,0.0910869,-0.00262287,0.00678973,0.0898355,45.6469,1.48431,1.49493,1.46087,1.47132,-10.7988,-4.54436,-19.2728,-18.9599,4.6181,2.97923,2.93218
0.39,-6.47006,-1.06012,-0.00574996,0.143905,76,-6.47117,-0.999993,-0.0601203,0.016756,0.00472938,0.00196834,0.00105342,0.0594028,0.0912108,-0.0027886,0.00695708,0.0885912,45.3581,1.4656,1.47625,1.44191,1.4524,-10.7672,-4.48245,-19.0315,-18.7152,4.58887,2.94185,2.89431
0.4,-6.46924,-1.06015,-0.00568466,0.146179,78,-6.47042,-0.999993,-0.0601451,0.0167596,0.00473087,0.00196914,0.00105393,0.0594214,0.0913908,-0.00263963,0.00734993,0.0868036,45.0814,1.43816,1.44879,1.41416,1.42461,-10.7274,-4.43156,-18.6769,-18.3562,4.56088,2.88695,2.83876
0.41,-6.46832,-1.06017,-0.00561006,0.148436,81,-6.46928,-0.999992,-0.0601728,0.016765,0.00473311,0.00197034,0.00105469,0.0594397,0.0915075,-0.00264763,0.0076261,0.0856404,44.812,1.42065,1.43131,1.39647,1.40695,-10.6882,-4.36798,-18.4509,-18.1279,4.53363,2.85196,2.80342
0.42,-6.46741,-1.0602,-0.00553273,0.150667,83,-6.46852,-0.999992,-0.0602007,0.0167686,0.0047346,0.00197114,0.0010552,0.0594578,0.0916313,-0.00265393,0.00789794,0.0844063,44.5267,1.402,1.41268,1.37764,1.38814,-10.652,-4.31033,-18.2103,-17.8847,4.50476,2.81468,2.76578
0.43,-6.46649,-1.06023,-0.00545268,0.152883,86,-6.46739,-0.999991,-0.0602286,0.0167739,0.00473684,0.00197234,0.00105597,0.0594757,0.0917224,-0.00266081,0.00816822,0.0834995,44.2572,1.38851,1.39925,1.36408,1.37463,-10.6125,-4.24397,-18.0365,-17.7098,4.4775,2.78776,2.73871
