t,x,y,theta,phiR,phiF,thetap,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,nu3torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phiR, Q_varphiR, Q_phiF, Q_varphiF
0.02,-6.44827,-0.999979,5.29384e-06,0.000100258,0.00316023,-0.000738699,176,-6.44998,-0.999981,5.34849e-06,0.0149779,0.00412457,0.0017577,0,0.000493398,0.000105411,-0.001566,1.45056e-06,2.39874,0.146552,4.53497,15.8273,15.8273,15.8273,15.8273,0.133842,0.0109157,-195.963,-195.963,0.0148266,31.6546,0.458803,31.6546
0.03,-6.44827,-0.999979,-3.22932e-07,0.000187165,0.0059332,-0.000738688,176,-6.44998,-0.999981,4.03673e-06,0.0149779,0.00412457,0.0017577,0,0.000330278,9.38175e-05,-0.00131168,1.0744e-05,2.39888,0.125176,3.99339,15.8282,15.8282,15.8282,15.8282,-0.426773,-0.0256401,-195.974,-195.974,0.0126641,31.6565,0.404011,31.6565
0.04,-6.44818,-0.999992,-1.00499e-06,-6.1612e-05,0.00302983,-0.000743426,176,-6.44998,-0.999981,-8.51845e-06,0.0149779,0.00412457,0.0017577,0,0.000249838,0.0138028,-0.000961948,-0.000888236,2.23438,1.58122,5.84251,14.7428,14.7428,14.7428,14.7428,0.196683,0.0497979,-182.535,-182.535,0.159972,29.4857,0.591087,29.4857
0.05,-6.44793,-1.00001,-1.26934e-05,-0.00192298,0.00143957,-0.000758422,177,-6.4497,-0.999981,-1.94039e-05,0.0149791,0.00412506,0.00175799,0,0.000203751,0.0287916,-0.000967922,-0.00105575,2.05461,6.58501,10.2263,13.5569,13.5565,13.5569,13.5565,0.874073,0.266068,-167.85,-167.85,0.666206,27.1134,1.03459,27.1134
0.06,-6.44753,-1.00002,-2.46816e-05,-0.00448013,-0.000679633,-0.000778057,179,-6.44913,-0.999981,-3.16134e-05,0.0149814,0.00412606,0.00175855,0,0.000175061,0.042605,-0.00113557,-0.00100772,1.88903,8.36275,11.6548,12.4646,12.4636,12.4646,12.4636,1.56454,0.332553,-154.322,-154.322,0.84606,24.9282,1.17911,24.9282
0.07,-6.44702,-1.00004,-3.51018e-05,-0.00687537,-0.00259435,-0.000792072,180,-6.44885,-0.999981,-4.61708e-05,0.0149826,0.00412656,0.00175884,0,0.000156649,0.0541778,-0.00138634,-0.000811842,1.75027,8.24868,11.4161,11.5492,11.5477,11.5492,11.5477,1.93164,0.190694,-142.985,-142.984,0.834519,23.0969,1.15497,23.0968
0.08,-6.44639,-1.00006,-4.37634e-05,-0.00884153,-0.00406716,-0.000808533,182,-6.44828,-0.99998,-6.34731e-05,0.0149849,0.00412756,0.00175941,0,0.000145002,0.0648109,-0.00165916,-0.000644276,1.62269,7.47962,10.628,10.7075,10.7055,10.7076,10.7055,2.02308,-0.0342661,-132.561,-132.561,0.756713,21.4131,1.07523,21.4131
0.09,-6.44568,-1.00009,-5.03857e-05,-0.0103662,-0.00509761,-0.000827287,185,-6.44743,-0.999979,-8.35318e-05,0.0149884,0.00412905,0.00176026,0,0.000138172,0.0734618,-0.00192309,-0.000432693,1.51884,6.6997,9.84579,10.0225,10.02,10.0225,10.02,1.95181,-0.272659,-124.075,-124.076,0.677809,20.0424,0.996099,20.0425
0.1,-6.44488,-1.00011,-5.54067e-05,-0.0115138,-0.00575743,-0.000844334,188,-6.44658,-0.999979,-0.000106129,0.0149919,0.00413055,0.00176112,0,0.000134967,0.0815199,-0.00215871,-0.000288709,1.42208,6.05073,9.18107,9.38417,9.3813,9.38411,9.38125,1.79503,-0.463923,-116.169,-116.17,0.612153,18.7654,0.928849,18.7655
0.11,-6.44402,-1.00014,-5.87197e-05,-0.0123513,-0.00611152,-0.000859737,191,-6.44573,-0.999978,-0.000130964,0.0149954,0.00413205,0.00176197,0,0.000134603,0.0879529,-0.00236428,-0.000108015,1.34481,5.51691,8.61496,8.87447,8.87125,8.87436,8.87115,1.5959,-0.631711,-109.856,-109.857,0.558146,17.7455,0.871576,17.7457
0.12,-6.44309,-1.00017,-6.06265e-05,-0.0129249,-0.00620553,-0.000873669,194,-6.44488,-0.999977,-0.000157733,0.0149989,0.00413354,0.00176282,0,0.000136531,0.0940704,-0.00254507,3.07827e-05,1.27133,5.05499,8.11529,8.38972,8.3862,8.38956,8.38605,1.36415,-0.76327,-103.851,-103.854,0.511413,16.7756,0.821024,16.7759
0.13,-6.44212,-1.00019,-6.07228e-05,-0.0132772,-0.00615966,-0.00088604,197,-6.44404,-0.999977,-0.00018619,0.0150025,0.00413504,0.00176368,0,0.000140351,0.0988982,-0.00269586,0.000168046,1.21332,4.67703,8.09403,8.00715,8.00338,8.00694,8.00319,1.25266,-0.869639,-99.1126,-99.1154,0.473175,16.0101,0.818873,16.0105
0.14,-6.44109,-1.00022,-5.94804e-05,-0.0134338,-0.0060944,-0.00090157,201,-6.4429,-0.999976,-0.000215976,0.0150071,0.00413704,0.00176482,0,0.000145753,0.103543,-0.00280818,0.000202664,1.15751,4.29646,8.27503,7.63907,7.63526,7.63881,7.63501,1.1919,-0.977103,-94.5544,-94.5579,0.434673,15.2738,0.837185,15.2743
0.15,-6.44003,-1.00025,-5.69698e-05,-0.0134256,-0.00601793,-0.000916202,205,-6.44177,-0.999975,-0.000246796,0.0150118,0.00413904,0.00176596,0,0.000152489,0.107105,-0.00290231,0.000287156,1.11471,4.03638,8.44567,7.35669,7.35296,7.35639,7.35268,1.14427,-1.05812,-91.0583,-91.0622,0.408361,14.7091,0.854448,14.7097
0.16,-6.43893,-1.00028,-5.39908e-05,-0.0133832,-0.00591474,-0.000925933,208,-6.44092,-0.999974,-0.000278456,0.0150153,0.00414054,0.00176682,0,0.000160362,0.110645,-0.00297199,0.000327416,1.07222,4.15071,8.49715,7.07629,7.07266,7.076,7.07239,1.07098,-1.01906,-87.5873,-87.5911,0.419927,14.1484,0.859656,14.149
0.17,-6.4378,-1.00032,-5.03701e-05,-0.0133309,-0.00580478,-0.000939369,212,-6.43979,-0.999973,-0.000310792,0.01502,0.00414254,0.00176796,0,0.000169211,0.113191,-0.00303201,0.000398946,1.04167,4.26257,8.64665,6.87467,6.87113,6.87439,6.87086,1.03865,-0.989038,-85.0916,-85.0953,0.431244,13.7452,0.874782,13.7458
0.18,-6.43665,-1.00035,-4.6423e-05,-0.0132689,-0.00568497,-0.000956663,217,-6.43837,-0.999972,-0.000343719,0.0150259,0.00414504,0.00176939,0,0.000178906,0.11591,-0.00308289,0.000418176,1.00903,4.37597,8.80848,6.65928,6.65582,6.659,6.65556,1.00353,-0.957103,-82.4254,-82.429,0.442717,13.3146,0.891154,13.3151
0.19,-6.43548,-1.00038,-4.1965e-05,-0.0132003,-0.00557323,-0.000969274,221,-6.43724,-0.999971,-0.000377158,0.0150306,0.00414705,0.00177054,0,0.00018934,0.117762,-0.00312739,0.000477327,0.986805,4.48491,8.95086,6.51261,6.50922,6.51234,6.50896,0.978582,-0.934936,-80.61,-80.6135,0.453738,13.0213,0.905558,13.0218
0.2,-6.43428,-1.00041,-3.73249e-05,-0.0131298,-0.00546048,-0.000981618,225,-6.43611,-0.99997,-0.000411031,0.0150353,0.00414905,0.00177168,0,0.000200424,0.119888,-0.00316252,0.000482641,0.961291,4.59602,9.09592,6.34423,6.34091,6.34397,6.34066,0.950275,-0.909698,-78.5257,-78.5291,0.464979,12.6846,0.920235,12.6851
0.21,-6.43308,-1.00045,-3.23318e-05,-0.0130586,-0.00532211,-0.000993627,229,-6.43498,-0.999969,-0.000445277,0.01504,0.00415106,0.00177283,0,0.000212084,0.121223,-0.00319434,0.000541825,0.945266,4.70384,9.13397,6.23846,6.23517,6.2382,6.23493,0.895981,-0.894027,-77.2164,-77.2198,0.475888,12.4731,0.924084,12.4736
