t,x,y,theta,phiR,phiF,thetap,sr_j,Psx,Psy,d,Cs,Cs1,Cs2,Cs3,d_ave,x_d1,x_d2,x_d3,nu1,nu2,nu3,torque_fl,torque_fr,torque_rl,torque_rr,lamda1,lambda2,lambda3,lambda4,Q_phiR, Q_varphiR, Q_phiF, Q_varphiF
0.02,-6.55037,-1.00029,-0.000122384,0.000453685,0.0126289,-0.000866412,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.325291,-0.000712029,7.37363e-06,10.5058,1.11278,38.6569,0,0,0,0,1.08513,0.0787241,-938.223,-938.223,0.235466,156.177,8.17985,156.177
0.03,-6.55068,-1.00029,-0.000145488,0.000765715,0.0218504,-0.00086662,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.318866,-0.000578012,-0.00020089,10.3773,0.929438,32.0697,0,0,0,0,-11.5459,-0.702455,-925.034,-925.034,0.19667,154.005,6.786,154.005
0.04,-6.55383,-1.00029,-0.000132889,0.00044989,0.0126966,-0.000873032,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.266876,0.000163142,-0.00231456,9.33752,1.18514,40.095,0,0,0,0,0.946596,0.0839411,-818.302,-818.302,0.250776,136.425,8.48416,136.425
0.05,-6.55588,-1.0003,-0.000144422,0.000448822,0.0128211,-0.000885358,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.213891,-0.000339663,-0.00183338,8.27783,1.29677,41.6733,0,0,0,0,0.814896,0.0709789,-709.528,-709.528,0.274399,118.509,8.81814,118.509
0.06,-6.55767,-1.0003,-0.000154157,0.000447851,0.0129448,-0.000897595,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.16173,-0.000538853,-0.000325199,7.23461,1.41784,43.2108,0,0,0,0,0.702516,0.05862,-602.446,-602.446,0.300018,100.871,9.14348,100.871
0.07,-6.55897,-1.00031,-0.000156024,0.00044833,0.0129691,-0.00089996,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.114131,-0.000659686,-2.60587e-05,6.28261,1.50077,44.2979,0,0,0,0,0.598352,0.0530783,-504.727,-504.727,0.317565,84.7756,9.3735,84.7756
0.08,-6.5598,-1.00032,-0.000158184,0.000448666,0.0129864,-0.00090167,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.0669803,-0.000571847,-0.000295618,5.33961,1.58249,45.3527,0,0,0,0,0.502026,0.0480793,-407.931,-407.931,0.334856,68.8322,9.59669,68.8322
0.09,-6.56022,-1.00032,-0.00016093,0.000449348,0.013015,-0.00090451,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,-0.0277328,-0.000599978,-0.000239002,4.55466,1.65087,46.2827,0,0,0,0,0.428198,0.0447253,-327.359,-327.359,0.349326,55.5611,9.79349,55.5611
0.1,-6.56025,-1.00033,-0.000165498,0.000450265,0.0130576,-0.00090861,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0122326,-0.00028919,-0.000518117,3.75535,1.72455,47.273,0,0,0,0,0.357732,0.0424195,-245.313,-245.313,0.364918,42.0472,10.003,42.0472
0.11,-6.55993,-1.00033,-0.000181604,0.000452819,0.0131556,-0.00091829,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0445037,0.00175318,-0.00437403,3.10994,1.78819,48.3076,0,0,0,0,0.307638,0.0415065,-179.062,-179.062,0.378383,31.1349,10.222,31.1349
0.12,-6.55941,-1.00032,-0.000210108,0.000461169,0.0134894,-0.000951189,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0587033,0.000479445,-0.0017365,2.82594,1.83672,49.8131,0,0,0,0,0.298125,0.0447926,-149.912,-149.912,0.388653,26.3336,10.5405,26.3336
0.13,-6.55881,-1.00033,-0.000215235,0.000463447,0.0135637,-0.000958579,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0653607,-0.000383151,-0.000379683,2.69279,1.86654,50.2255,0,0,0,0,0.290305,0.0463182,-136.245,-136.245,0.394964,24.0825,10.6278,24.0825
0.14,-6.55815,-1.00033,-0.000218057,0.000464092,0.0135913,-0.000961403,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0701023,-0.000338034,-0.000379343,2.59796,1.87844,50.431,0,0,0,0,0.283911,0.0463648,-126.51,-126.51,0.39748,22.4791,10.6713,22.4791
0.15,-6.55744,-1.00034,-0.000220715,0.000464678,0.0136161,-0.000963947,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0759961,-0.000451083,-0.000449407,2.48008,1.89153,50.6509,0,0,0,0,0.275537,0.0462577,-114.411,-114.411,0.40025,20.4862,10.7178,20.4862
0.16,-6.5567,-1.00034,-0.0002236,0.000465467,0.0136464,-0.000967104,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0771702,-0.000415281,-0.000288703,2.4566,1.89697,50.7942,0,0,0,0,0.275386,0.046437,-112.001,-112.001,0.401402,20.0892,10.7481,20.0892
0.17,-6.55592,-1.00035,-0.000227862,0.000466405,0.0136845,-0.000970884,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0822438,-0.000305822,-0.000578138,2.35513,1.91083,51.041,0,0,0,0,0.268534,0.0468421,-101.585,-101.585,0.404335,18.3736,10.8004,18.3736
0.18,-6.55514,-1.00035,-0.000231637,0.000467467,0.0137261,-0.000974991,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0817559,-0.000426419,-0.000379154,2.36488,1.91375,51.1815,0,0,0,0,0.270885,0.0473976,-102.586,-102.586,0.404952,18.5386,10.8301,18.5386
0.19,-6.55433,-1.00036,-0.000236729,0.000468606,0.0137736,-0.000979689,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0855854,-0.000224771,-0.000614924,2.28829,1.92739,51.4357,0,0,0,0,0.266363,0.0481525,-94.7249,-94.7249,0.407838,17.2437,10.8839,17.2437
0.2,-6.55351,-1.00036,-0.000240675,0.000469724,0.0138168,-0.000983953,176,-6.44998,-0.999981,-1.85518e-05,0.0149779,0.00412457,0.0017577,0,1.85518e-05,0.0850991,-0.000441061,-0.00042463,2.29802,1.92963,51.5819,0,0,0,0,0.268712,0.0486178,-95.7232,-95.7232,0.408314,17.4081,10.9148,17.4081
